PS C:\Users\Misza\Pictures\marioai\marioai\classes> java ch.idsia.scenarios.CustomRun o_1000_n_40_d_10_m_35__2023-10-12_21-48-28
Directory: o_1000_n_40_d_10_m_35__2023-10-12_21-48-28
     level_0.txt       0           25/186    time: 3
     level_1.txt       1           175/176    time: 25
     level_2.txt       1           166/167    time: 23
     level_3.txt       1           193/194    time: 25
     level_4.txt       1           147/148    time: 23
     level_5.txt       1           181/182    time: 25
     level_6.txt       1           152/153    time: 23
     level_7.txt       0           112/176    time: 45
     level_8.txt       1           181/182    time: 25
     level_9.txt       1           168/169    time: 23
     level_10.txt       1           168/169    time: 24
     level_11.txt       0           133/151    time: 16
     level_12.txt       1           123/124    time: 19
     level_13.txt       1           166/167    time: 22
     level_14.txt       1           158/159    time: 23
     level_15.txt       1           176/177    time: 27
     level_16.txt       1           176/177    time: 24
     level_17.txt       1           184/185    time: 26
     level_18.txt       1           167/168    time: 24
     level_19.txt       1           201/202    time: 26
     level_20.txt       1           186/187    time: 23
     level_21.txt       0           124/175    time: 45
     level_22.txt       1           180/181    time: 26
     level_23.txt       0           69/158    time: 45
     level_24.txt       1           155/156    time: 22
     level_25.txt       1           183/184    time: 26
     level_26.txt       1           171/172    time: 24
     level_27.txt       1           184/185    time: 25
     level_28.txt       1           138/139    time: 22
     level_29.txt       1           154/155    time: 21
     level_30.txt       1           151/152    time: 20
     level_31.txt       1           162/163    time: 23
     level_32.txt       0           65/193    time: 45
     level_33.txt       1           154/155    time: 23
     level_34.txt       1           166/167    time: 23
     level_35.txt       1           179/180    time: 27
     level_36.txt       0           25/159    time: 6
     level_37.txt       0           46/178    time: 45
     level_38.txt       1           148/149    time: 22
     level_39.txt       1           165/166    time: 26
     level_40.txt       1           149/150    time: 21
     level_41.txt       1           184/185    time: 29
     level_42.txt       1           162/163    time: 23
     level_43.txt       1           155/156    time: 23
     level_44.txt       1           150/151    time: 23
     level_45.txt       1           167/168    time: 23
     level_46.txt       1           165/166    time: 23
     level_47.txt       1           174/175    time: 24
     level_48.txt       1           160/161    time: 24
     level_49.txt       0           61/155    time: 45
     level_50.txt       1           164/165    time: 23
     level_51.txt       1           161/162    time: 24
     level_52.txt       1           139/140    time: 20
     level_53.txt       1           185/186    time: 26
     level_54.txt       1           161/162    time: 23
     level_55.txt       1           145/146    time: 22
     level_56.txt       1           184/185    time: 27
     level_57.txt       1           154/155    time: 21
     level_58.txt       1           165/166    time: 21
     level_59.txt       1           165/166    time: 24
     level_60.txt       1           165/166    time: 23
     level_61.txt       1           159/160    time: 22
