id,leniency,linearity,line_distance
1,1.5,2.220446049250313e-16,1.0
10,1.5,2.220446049250313e-16,1.0
11,1.5,2.9605947323337506e-16,1.3333333333333333
12,3.5,2.220446049250313e-16,1.0
13,2.5,2.220446049250313e-16,1.0
14,1.5,2.220446049250313e-16,1.0
15,1.5,2.220446049250313e-16,1.0
16,-1.0,0.0,2.0
17,3.0,1.777777777777778,1.3333333333333333
18,0.0,2.08,4.0
19,0.0,2.4444444444444446,3.0
2,1.5,2.220446049250313e-16,1.0
20,2.5,1.6666666666666667,2.0
21,2.5,0.22222222222222224,1.0
22,2.5,2.222222222222222,2.0
23,-1.0,2.9387755102040813,2.857142857142857
24,2.5,2.220446049250313e-16,1.0
25,0.0,1.7763568394002505e-15,5.0
26,1.5,2.220446049250313e-16,1.0
27,2.5,0.888888888888889,1.0
28,0.0,2.6666666666666665,2.6666666666666665
29,0.0,1.6000000000000003,2.0
3,1.5,0.23809523809523825,2.0
30,1.5,0.7500000000000001,0.75
31,3.0,0.8888888888888888,1.3333333333333333
32,0.0,4.319999999999999,5.0
33,3.5,0.7500000000000001,0.75
34,0.0,1.6799999999999997,2.4
35,0.0,2.6666666666666665,2.6666666666666665
4,3.5,2.220446049250313e-16,1.0
5,1.5,0.888888888888889,1.0
6,1.5,0.7500000000000001,0.75
7,0.0,0.0,0.0
8,0.0,0.48,2.4
9,1.0,1.7763568394002505e-15,5.0
