filename,leniency,linearity
huj,0.598984771573604,0.7139477802715004
huj,0.5228426395939086,0.5964471158726232
huj,0.6751269035532995,0.6431849931520889
huj,0.4416243654822335,0.868145560845622
huj,0.6446700507614213,0.6620965036449276
huj,0.467005076142132,0.6797470225021034
huj,1.0,0.755362771980062
huj,0.6243654822335025,0.8218136975068204
huj,0.47208121827411165,0.6949440784681087
huj,0.6497461928934011,0.8200009027071413
huj,0.7035532994923858,0.7842375930785618
huj,0.5086294416243654,0.7911024635093516
huj,0.6142131979695431,0.7789397435388841
huj,0.350253807106599,0.6940297439061054
huj,0.5888324873096447,0.7060128607474104
huj,0.3928934010152284,0.6181627438234127
huj,0.5695431472081217,0.6949535808196429
huj,0.39974619289340096,0.6416206216038817
huj,0.5253807106598984,0.7961962440958184
huj,0.35895576504713556,0.6597961638530322
huj,0.3299492385786802,0.7765525708438008
huj,0.7423857868020304,0.7597119962092908
huj,0.3096446700507614,0.6664167556301863
huj,0.6852791878172588,0.6687096154657317
huj,0.5112400290065264,0.7523952339117637
huj,0.2969543147208122,0.7082572677307719
huj,0.6548223350253807,0.6836667627739146
huj,0.30239303843364757,0.6036153166585071
huj,0.41624365482233494,0.6541536751698196
huj,0.6192893401015229,0.7008311236917253
huj,0.4517766497461928,0.731314684709701
huj,0.49238578680203043,0.8603073798670583
huj,0.6487309644670051,0.8239886333701987
huj,0.5852066715010877,0.6503298069554998
huj,0.5451776649746192,0.8636863303935735
huj,0.6603599446239039,0.8083199995445296
huj,0.5817258883248732,0.7974156995241602
huj,0.8375634517766497,0.7860524842176522
huj,0.6243654822335025,0.745131380319547
huj,0.8680203045685279,0.79127359820326
huj,0.37309644670050757,0.7070899157815631
huj,0.4416243654822335,0.6748969630614678
huj,0.715736040609137,0.7776735553706773
huj,0.532994923857868,0.6283154383629195
huj,0.40609137055837563,0.6522861828025873
huj,0.532994923857868,0.7439411735273358
huj,0.715736040609137,0.8105254330026459
huj,0.6365482233502537,0.6092024710437339
huj,0.5591007976794778,0.7721604389692127
huj,0.5721537345902827,0.7407116024744819
huj,0.7940536620739665,0.8264586550011473
huj,0.5634517766497461,0.6493363143788135
huj,0.6548223350253807,0.6998716608765947
huj,0.36548223350253806,0.7478755730824201
huj,0.449238578680203,0.6259092042294372
huj,0.5532994923857867,0.7297699598451444
huj,0.5939086294416244,0.667215886846462
huj,0.4842639593908629,0.7280217825301786
huj,0.5363790186125211,0.7378753281982139
huj,0.6121827411167513,0.8283795030458044
huj,0.38071065989847713,0.6197058645501996
huj,0.7418419144307469,1.0
huj,0.5547498187092096,0.729815520627895
huj,0.39376359680928213,0.6605689096856505
huj,0.532994923857868,0.850371336059695
huj,0.6852791878172588,0.8745070753652858
huj,0.5025380710659898,0.7518001305681262
huj,0.4538071065989847,0.8052993987402155
huj,0.8802030456852791,0.8345846365186248
huj,0.6548223350253807,0.7566582520861278
huj,0.5025380710659898,0.7056110266353348
huj,0.7690355329949238,0.7249278382633862
huj,0.5634517766497461,0.7806976824699128
huj,0.6487309644670051,0.7946312729176259
huj,0.532994923857868,0.7438485244783196
huj,0.43401015228426393,0.6216878064729681
huj,0.3328498912255257,0.6214578632843045
huj,0.5444162436548223,0.7387948605259523
huj,0.6903553299492385,0.6289469470444439
huj,0.715736040609137,0.7221801145783312
huj,0.7258883248730965,0.8757555161906777
huj,0.47208121827411165,0.6416542770240371
huj,0.8680203045685279,0.8490558361569764
huj,0.5279187817258884,0.7248480698442934
huj,0.5786802030456852,0.6353953129227329
huj,0.7461928934010151,0.7346427748576991
huj,0.6609137055837563,0.7401905202919256
huj,0.449238578680203,0.717708348902229
huj,0.5126903553299491,0.9137256779149312
huj,0.6670050761421319,0.7302747925881036
huj,0.4416243654822335,0.7543266353989804
huj,0.6395939086294415,0.9271829973038427
huj,0.38071065989847713,0.6818059505629608
huj,0.715736040609137,0.8086545435579001
huj,0.34010152284263956,0.7646248215096427
huj,0.40609137055837563,0.6973025998056496
huj,0.4010152284263959,0.62443462133938
huj,0.5756345177664973,0.8566926977091953
huj,0.3763596809282088,0.6650183484251575
huj,0.5786802030456852,0.8818957639633255
